Name,Term,ES,NES,nominal_p,fdr,fwer_p,Tag %,Gene %,leading_edge
prerank,UV Response Dn,0.24468546798784413,1.070219998114112,0.3170212765957447,0.49841791244888384,1.0,12/79,8.84%,PHF3;SYNE1;BHLHE40;AKT3;AGGF1;CDK13;TENT4A;ATRX;DLG1;ARHGEF9;ANXA4;ADD3
prerank,Apoptosis,-0.2293801160163903,-1.0372498484102837,0.3655536028119508,0.5041650447644997,1.0,34/114,22.82%,IL1B;LMNA;ADD1;RHOB;GPX4;CASP2;DAP3;BRCA1;CASP8;PPP3R1;MGMT;LEF1;BCAP31;ENO2;TSPO;TIMP1;DAP;SQSTM1;SPTAN1;CLU;BMF;TIMP2;CTNNB1;IRF1;GSR;ANKH;MCL1;RHOT2;SOD2;DDIT3;BTG2;HSPB1;RARA;VDAC2
prerank,Bile Acid Metabolism,0.28084808354942414,1.0828035406798766,0.3111111111111111,0.5401923979352418,0.999,13/43,18.75%,HSD17B11;HSD17B4;CROT;PNPLA8;ABCA1;ABCA2;SCP2;LONP2;SLC35B2;NPC1;OPTN;IDI1;PRDX5
prerank,Allograft Rejection,0.19060324715293356,0.9273682209798811,0.6651270207852193,0.6175973721257626,1.0,42/154,21.43%,HLA-DOA;GPR65;F2R;KLRD1;GZMB;HLA-DQA1;EIF4G3;CCL5;RPL9;CD2;CD86;WARS1;CD7;CCL4;B2M;RPL39;TLR1;PRF1;IRF8;ST8SIA4;FAS;GZMA;IL2RB;MAP3K7;HLA-DOB;CD96;RPS3A;CTSS;ITK;HLA-DMA;GCNT1;CCND2;CD79A;JAK2;IL12RB1;FCGR2B;HIF1A;CD247;RPS9;STAT4;HDAC9;LY86
prerank,Fatty Acid Metabolism,-0.2123462433673185,-0.9687148496260023,0.516728624535316,0.6461067636676018,1.0,45/106,35.81%,CPT1A;FH;GSTZ1;H2AZ1;IDH3B;MIF;ALDH9A1;DLST;ALDH1A1;HIBCH;ENO2;GLUL;SDHA;ACOT8;ACADVL;HADH;ODC1;ALAD;ACSL1;GPD2;NCAPH2;ECH1;UROD;ECI2;SDHC;CRAT;YWHAH;HCCS;ACSS1;IDH3G;CA4;HSD17B10;ACAA1;SERINC1;ACOX1;HADHB;ELOVL5;CA2;RDH11;LGALS1;OSTC;MGLL;IDH1;SUCLG1;RETSAT
prerank,mTORC1 Signaling,0.1909662553324219,0.9353128899741822,0.6342592592592593,0.6575222900046926,1.0,35/158,18.59%,PSMC6;ACTR2;BHLHE40;MCM2;STARD4;CYP51A1;SYTL2;ELOVL6;ETF1;TMEM97;FGL2;ACSL3;M6PR;PDAP1;WARS1;TBK1;ADD3;HSPA4;HMGCR;PPA1;CTSC;DDIT4;UCHL5;MCM4;PSMD12;PSMA4;PSMC2;ADIPOR2;PNO1;TOMM40;ATP2A2;COPS5;IDI1;HSPA9;GGA2
prerank,Spermatogenesis,-0.2554104875139669,-0.9725079811639729,0.512962962962963,0.6585219373853083,1.0,15/41,31.41%,TALDO1;IP6K1;HBZ;MLLT10;JAM3;ACRBP;TLE4;ALOX15;ARL4A;AURKA;PHKG2;SLC12A2;MTOR;BRAF;HSPA1L
prerank,Interferon Alpha Response,0.21337175428766753,0.9561922712793111,0.5601750547045952,0.6716200010428073,1.0,12/89,9.42%,BST2;SAMD9L;LAP3;MVB12A;ELF1;SAMD9;CASP1;LPAR6;WARS1;B2M;OGFR;BATF2
prerank,IL-2/STAT5 Signaling,-0.2009501742325572,-0.9437051376424104,0.5738317757009346,0.6911794472557415,1.0,47/139,27.26%,AHCY;MAPKAPK2;FURIN;CSF1;SELL;P2RX4;SLC2A3;RHOB;IL10RA;GPX4;LTB;IL1R2;FLT3LG;PLAGL1;PHTF2;CKAP4;CD83;ENPP1;FAM126B;KLF6;PLIN2;MXD1;DHRS3;FAH;BATF;ODC1;TNFRSF8;NDRG1;SYT11;CCND3;GLIPR2;CDKN1C;HK2;NOP2;SOCS1;TIAM1;ARL4A;XBP1;IFNGR1;CISH;DENND5A;ADAM19;BCL2L1;LCLAT1;PTGER2;NFIL3;IGF1R
prerank,Mitotic Spindle,0.20118277210485339,0.9685633375409822,0.5353319057815846,0.7150516189582357,1.0,37/154,20.23%,CKAP5;APC;SMC3;CDK5RAP2;KIF5B;RANBP9;MARCKS;KIF20B;TLK1;TBCD;AKAP13;TUBGCP5;ABL1;RASA1;CEP250;SMC4;DLG1;DST;ROCK1;CD2AP;CLASP1;ARHGAP5;BRCA2;CLIP1;RASA2;RABGAP1;SPTBN1;ALMS1;KATNB1;STAU1;NUMA1;NIN;WASL;PALLD;RICTOR;FGD4;EPB41L2
prerank,Apical Surface,-0.2780950071328886,-0.9009677525488313,0.6226415094339622,0.756232970027248,1.0,5/23,16.21%,MAL;BRCA1;EPHB4;LYN;DCBLD2
prerank,Cholesterol Homeostasis,-0.23476528162104854,-0.9087622677634872,0.6114285714285714,0.7587036502216251,1.0,9/48,12.59%,PMVK;ATXN2;ANTXR2;CD9;ANXA5;PDK3;ACTG1;ALDOC;CLU
prerank,KRAS Signaling Dn,-0.2378918521748812,-0.8854651277886402,0.6588021778584392,0.7697936940443754,1.0,15/40,25.42%,MAST3;KMT2D;LFNG;CPEB3;GP1BA;SGK1;KCNMB1;BTG2;TENT5C;NR6A1;PTPRJ;MTHFR;SNN;CHST2;KRT1
prerank,Estrogen Response Late,-0.20053920506792217,-0.8626262577588358,0.7294332723948812,0.7965287477388776,1.0,25/86,24.45%,FAM102A;SLC16A1;METTL3;GLA;PPIF;IMPA2;OPN3;FLNB;CD9;SLC9A3R1;FOS;RAB31;NXT1;KLF4;BATF;MYB;SGK1;PTPN6;DNAJC1;SORD;MAPK13;TIAM1;XBP1;CISH;SIAH2
prerank,Myc Targets V2,-0.21041677836517436,-0.8218461767104559,0.7840290381125227,0.8556481121058778,1.0,11/45,21.59%,RRP12;SLC19A1;FARSA;MYBBP1A;NIP7;PA2G4;RABEPK;HK2;SORD;NOP2;LAS1L
prerank,Pperoxisome,-0.17097526735929075,-0.7064484602760204,0.9700374531835206,0.9628649279875438,1.0,30/67,35.81%,DLG4;CTBP1;PRDX1;ALDH9A1;ALDH1A1;TSPO;MVP;CAT;ACOT8;DHRS3;ACSL1;SOD2;ECH1;ERCC1;PEX11B;ECI2;CRAT;GNPAT;YWHAH;CTPS1;ACAA1;CNBP;ACOX1;GSTK1;ELOVL5;SOD1;RDH11;ABCC5;IDH1;RETSAT
